Language,MT_System,BLEU,METEOR,COMET,COMET_QE,Num_Samples
Bangla,BhashaVerse,20.56,0.4124,0.8129,0.1805,104
Bangla,ChatGPT 5.2,13.9,0.3427,0.8567,0.3639,104
Malayalam,BhashaVerse,40.72,0.5789,0.8691,0.0394,34
Malayalam,ChatGPT 5.2,13.36,0.2997,0.882,0.2076,34
Tamil,BhashaVerse,10.75,0.2394,0.8288,0.2867,211
Tamil,ChatGPT 5.2,18.76,0.3335,0.8854,0.4575,211
Telugu,BhashaVerse,25.71,0.4359,0.8098,0.1197,169
Telugu,ChatGPT 5.2,13.68,0.2931,0.8657,0.3256,169
